0	80.00000000
1	97.00000000
2	36.60000000
3	121.00000000
4	97.00000000
5	73.00000000
6	15.00000000
7	45.00000000
8	-6.40000000
9	26.50000000
10	0.40000000
11	7.37000000
12	40.00000000
13	97.40000000
14	18.00000000
15	11.00000000
16	75.00000000
17	8.90000000
18	107.00000000
19	0.54000000
20	0.10000000
21	242.00000000
22	2.25000000
23	2.20000000
24	4.00000000
25	3.60000000
26	0.90000000
27	1.09000000
28	37.10000000
29	11.60000000
30	29.10000000
31	5.40000000
32	289.00000000
33	216.00000000
34	62.00000000
35	0.00000000
36	1.00000000
37	0.00000000
38	0.00000000
39	35.00000000
